task,student,buckets,origin,eval_day,arm,seed,teacher,n,base_rate,logloss,ne,cane,cane_mult,cal_mult,cal_clip_frac,cane_shift,ne_miscalibration,auc,pr_auc,ece,pred_mean,cal_ratio,n_train,eval_rows,secs,n_teacher,frac_censored,n_train_band0,n_train_band1,frac_sum_gt1,dom_auc,weight_p99,n_train_band2
7d,S2,160,40,41,E,0,n13,296223,0.1933543310276379,0.388692934319934,0.7915540735784954,0.7907507210441693,0.792070116800114,1.0514091913888537,3.375835097207172e-06,0.082970032766703,0.000803352534326,0.8041555687604178,0.5430247855704962,0.0152304147249999,0.1839001718942818,0.9511044873776072,8183873.0,296223,4.4,,,,,,0.7194499528215001,4.521093368530273,
1d,S3,896,40,41,oracle,0,n13,296223,0.1436924209126232,0.3026706266257404,0.7353333481682569,0.7346689369279888,0.7347541725022209,0.953075268751492,0.0,-0.0777593334873961,0.000664411240268,0.8431038372968636,0.5371354249949601,0.0076777767214326,0.1507671278689848,1.0492350738572604,10052380.0,296223,5.5,,,,,,,,
1d,S3,896,40,41,A,0,n13,296223,0.1436924209126232,0.303073351761057,0.7363117623125207,0.7358857083886212,0.735893058344998,0.962154824173478,0.0,-0.0623441800370524,0.0004260539238994,0.8424734807837823,0.535727577335364,0.0067427440383974,0.1493443854382372,1.0393337692393032,9767244.0,296223,5.3,,,,,,,,
1d,S3,896,40,41,B_teacher,0,n13,296223,0.1436924209126232,0.2976902286243439,0.7232335524979426,0.7206334329797582,0.7214975353154726,0.9105327078155218,0.0,-0.1532973653279404,0.0026001195181843,0.8510923706670988,0.5488135114796131,0.0141189566241143,0.1578113775367375,1.0982581860229064,9767244.0,296223,0.0,,,,,,,,
1d,S3,896,40,41,B,0,n13,296223,0.1436924209126232,0.3016365414154146,0.7328210550247917,0.7309185828327199,0.7314208348388055,0.9223318405889168,0.0,-0.1306986040369132,0.0019024721920717,0.8458578004875352,0.5387238427760123,0.0121001198944624,0.1557925408070856,1.0842084768118725,10052380.0,296223,11.9,9767244.0,,,,,,,
1d,S3,896,40,41,B_nofresh,0,n13,296223,0.1436924209126232,0.3019747418076913,0.7336427073588061,0.7314815056857226,0.7320240811397405,0.9175584866522816,0.0,-0.1392391313456821,0.0021612016730835,0.8455372538412984,0.5382328351014936,0.0129105891438648,0.1566030100564881,1.0898487829898524,9767244.0,296223,11.5,9767244.0,,,,,,,
1d,S3,896,40,41,C,0,n13,296223,0.1436924209126232,0.3027384404511417,0.7354981007504294,0.7348151286411911,0.7348645777785402,0.9524933781379844,0.0,-0.0789105995322814,0.0006829721092382,0.8430601837299693,0.5370012882323886,0.0077617447973946,0.1508592334715497,1.0498760652330053,10052380.0,296223,6.0,,0.0283650252968072,,,,,,
1d,S3,896,40,41,D,0,n13,296223,0.1436924209126232,0.3030697619497403,0.7363030409245082,0.7359635582462647,0.7359420332626418,0.9660442816628833,0.0,-0.0555675170850431,0.0003394826782434,0.8427045198142512,0.5361982756654313,0.0057907882918874,0.1487430997109996,1.0351492358907894,,296223,10.9,,,10048963.0,9767244.0,0.0,,,
1d,S3,896,40,41,E,0,n13,296223,0.1436924209126232,0.3025168319147047,0.7349597064275394,0.7349362948643027,0.7348952226908839,0.9909496879244176,0.0,-0.0147011485127893,2.3411563236708236e-05,0.8430346712538227,0.5372294180756374,0.0054575520476209,0.1450047592361551,1.0091329682887722,9767244.0,296223,5.3,,,,,,0.7032958898302196,3.3976681232452397,
7d,S3,896,40,41,oracle,0,n13,296223,0.1933543310276379,0.3650469595609346,0.743400207141566,0.7433873381013235,0.7434238912529271,1.006171397960122,0.0,0.0106503578054134,1.286904024244695e-05,0.8351998057278741,0.5838836341204864,0.0053514892487816,0.1921683834579655,0.9938664545895124,10052380.0,296223,5.2,,,,,,,,
7d,S3,896,40,41,A,0,n13,296223,0.1933543310276379,0.3819134074639403,0.7777479000518637,0.7777473163202016,0.7777261812254596,0.998684380985778,0.0,-0.0022505584631492,5.837316621182254e-07,0.8128569885152983,0.5562814580933014,0.0127567136256058,0.1936090467708951,1.001317352147756,8183873.0,296223,4.6,,,,,,,,
7d,S3,896,40,41,B_teacher,0,n13,296223,0.1933543310276379,0.3792261894098235,0.7722755124432457,0.7553020258736679,0.7541275193469739,0.8135414772769406,0.0,-0.3846509243128366,0.0169734865695777,0.8295027388296199,0.5746862773368077,0.0444097941039775,0.2376699116495292,1.2291936280214837,8183873.0,296223,0.1,,,,,,,,
7d,S3,896,40,41,B,0,n13,296223,0.1933543310276379,0.3842388022191928,0.7824834522800478,0.7641488744069435,0.7626932549028427,0.8064090632880907,0.0,-0.397065458712003,0.0183345778731043,0.8246625649517904,0.565034914415395,0.0464176901835892,0.2397720212112272,1.240065427740299,10052380.0,296223,12.2,8183873.0,,,,,,,
7d,S3,896,40,41,B_nofresh,0,n13,296223,0.1933543310276379,0.3861467346872319,0.7863688630602343,0.7747840249170467,0.7717061565758135,0.8414057357593759,0.0,-0.3181189704849206,0.0115848381431876,0.8179546978999782,0.5588210481270058,0.0372047098274465,0.2297991596802391,1.1884872630414045,8183873.0,296223,9.8,8183873.0,,,,,,,
7d,S3,896,40,41,C,0,n13,296223,0.1933543310276379,0.3660995447784432,0.7455437452487487,0.7455425384482528,0.7455169610486365,0.998134633536015,0.0,-0.0032802233926798,1.2068004958676326e-06,0.8343892218055808,0.5817524027244996,0.0086324552896586,0.1937156817639484,1.0018688525588746,10052380.0,296223,5.6,,0.1858769804239273,,,,,,
7d,S3,896,40,41,D,0,n13,296223,0.1933543310276379,0.366623261690269,0.7466102690220272,0.7465460314447316,0.7461693698446847,0.9862981206656808,0.0,-0.0235226469760332,6.423757729556723e-05,0.8335831372126956,0.5821544308895129,0.006806013264358,0.1960404536684482,1.013892228979481,,296223,4.5,,,10048963.0,9767244.0,0.0001046508914441,,,8183873.0
7d,S3,896,40,41,E,0,n13,296223,0.1933543310276379,0.3828220341956401,0.7795982737719255,0.7761011446325764,0.7867211296380067,1.1099427090204412,0.0037775594737748,0.1772242722550669,0.003497129139349,0.8144551333327701,0.558025036975076,0.0218515205822171,0.1742020821942054,0.9009474019452148,8183873.0,296223,4.5,,,,,,0.7194499528215001,4.521093368530273,
1d,S4,131072,40,41,oracle,0,n13,296223,0.1436924209126232,0.2990773955521497,0.7266036519121585,0.7261918996156014,0.7261959717328426,0.9629679527122178,0.0,-0.0616166422977943,0.000411752296557,0.8486952382491528,0.5426922431194335,0.0063231494666658,0.1492182792873956,1.038456157532014,10052380.0,296223,5.4,,,,,,,,
